PID,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,Latitude,Longitude,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
902207130,832,5,6,5,0,1923,1,0,2,1970,2,2,9656,832,-,678,3,2,2,42.03047530489075,-93.60682804611989,12789,182291.95509166492,-169502.95509166492,931 MAXWELL AVE,OldTown
911102170,1317,6,6,3,0,1920,1,0,3,1950,4,4,8500,649,668,649,3,3,3,42.02140362966889,-93.61680909086884,40000,200764.7490362575,-160764.7490362575,208 S WALNUT AVE,IDOTRR
903484080,1484,6,6,3,0,1910,2,0,3,1950,4,1,10320,866,504,771,3,3,3,42.02295797959184,-93.62398130612245,50000,201307.46587016553,-151307.46587016553,1003 LINCOLN WAY,IDOTRR
527326040,1411,6,6,2,1,1977,2,0,3,1977,7,5,11900,1411,-,1386,3,3,3,42.055129455191484,-93.63508069267212,82500,224271.46360290167,-141771.46360290167,3412 TAFT AVE,NWAmes
902302150,2337,5,6,5,0,1900,2,0,5,1950,5,5,13600,1422,915,662,3,3,3,42.02928591836734,-93.61688177551021,90000,229695.04088058224,-139695.04088058224,824 CLARK AVE,OldTown
534427010,1728,5,2,4,1,1962,2,0,6,2001,5,6,13260,1728,-,1728,3,-,3,42.04199908695652,-93.62296382608696,84900,223343.96300287705,-138443.96300287705,904 20TH ST 906,NAmes
909101330,498,4,7,6,1,1922,1,0,1,1955,2,3,8088,498,-,498,3,2,3,42.021383877551024,-93.65900387755102,35000,172412.7763594592,-137412.7763594592,202 STATE AVE,Edwards
904351240,1112,4,7,6,1,1934,2,0,4,1950,5,3,9780,687,425,585,3,1,3,42.02304640816327,-93.65834769387754,63000,199947.83076169484,-136947.83076169484,122 HOWARD AVE,Edwards
532378120,864,2,5,5,5,1965,1,0,3,1965,5,5,8281,864,-,864,3,3,3,42.03469450295671,-93.66973712848696,62383,199071.54697061505,-136688.54697061505,1313 GARFIELD AVE,Sawyer
911175430,480,6,6,3,0,1949,0,0,1,1950,2,3,9000,480,-,480,3,3,3,42.019100274194074,-93.61476109680883,35311,171810.84489324893,-136499.84489324893,313 S 4TH ST,IDOTRR
903454060,1092,6,6,3,0,1930,2,0,3,1950,4,5,5600,372,720,0,2,-,-,42.02423726665693,-93.62691278211034,55000,190395.90193051894,-135395.90193051894,211 N HAZEL AVE,IDOTRR
910202050,796,6,6,3,0,1922,1,0,2,1950,4,4,3636,796,-,796,3,-,3,42.02268957938945,-93.6253261988616,55000,188877.32676942027,-133877.32676942027,107 S MAPLE AVE,IDOTRR
903430130,693,5,6,5,0,1941,1,0,2,1950,4,4,4118,693,-,693,2,-,3,42.02699542127183,-93.62264784136815,52500,185319.84581428656,-132819.84581428656,606 NORTHWESTERN AVE,OldTown
903476090,1864,5,6,5,0,1902,2,1,6,2000,7,5,5852,978,886,1020,3,-,3,42.02589425700439,-93.62089386191246,97500,228749.3256159247,-131249.3256159247,731 5TH ST,OldTown
902331010,816,5,6,5,0,1910,1,0,2,1950,4,3,3300,816,-,624,3,-,3,42.02774530000001,-93.61487045000001,58500,189629.82789189098,-131129.82789189098,322 7TH ST,OldTown
535379060,968,5,6,5,0,1927,2,0,4,2007,4,6,10800,968,-,656,3,2,3,42.035887510204084,-93.61245140816327,64500,194557.97827716632,-130057.97827716632,1407 DOUGLAS AVE,OldTown
911128180,1128,6,6,3,0,1920,1,0,2,1950,4,4,7500,698,430,698,3,3,3,42.02136264484655,-93.61524020165535,68400,198192.28338785272,-129792.28338785272,212 WASHINGTON AVE,IDOTRR
909101070,864,4,7,6,1,1914,1,0,2,1950,3,3,8212,864,-,864,3,3,3,42.02208232146833,-93.65690511624551,58500,187788.7946823627,-129288.7946823627,2908 WOOD ST,Edwards
902325160,1440,5,6,5,0,1900,1,0,3,1950,5,4,5000,889,551,540,3,2,3,42.02933328571429,-93.615331,79000,208056.97132051818,-129056.97132051818,828 BURNETT AVE,OldTown
902402260,1086,5,6,5,0,1920,1,0,2,1950,2,1,11340,723,363,723,3,2,2,42.039218,-93.609681,55000,183601.04292854978,-128601.04292854978,822 CARROLL AVE,OldTown
534451170,729,5,6,5,0,1935,1,0,2,2003,3,6,4130,729,-,270,3,-,3,42.03570702069996,-93.62936082004859,52000,180486.66419796628,-128486.66419796628,1430 SUMMIT AVE,BrkSide
911226030,864,6,6,3,0,1920,1,1,3,1950,4,6,9000,432,432,592,2,2,2,42.02253088773595,-93.60415664642606,65000,193142.43842199643,-128142.43842199643,116 CHERRY AVE,IDOTRR
908204180,1152,4,7,6,1,1955,2,0,2,1955,4,3,6882,1152,-,0,2,-,-,42.02005709090909,-93.66493243181817,61500,188762.6388101446,-127262.63881014459,3412 TRIPP ST 3414,Edwards
902105130,672,5,6,5,0,1940,1,0,2,1950,5,4,4800,672,-,672,3,3,2,42.0254672,-93.6168856,64000,191037.76894624397,-127037.76894624397,1126 CLARK AVE,OldTown
905480150,1096,4,7,6,1,1924,1,0,2,1950,6,5,9600,572,524,572,3,-,3,42.022887673469384,-93.65856524489796,79000,205667.81612690742,-126667.81612690742,103 HOWARD AVE,Edwards
902305090,1774,5,6,5,0,1900,2,0,4,1950,4,2,9600,1095,679,1095,3,2,3,42.02808697959184,-93.61685259183673,87000,212931.8429450638,-125931.8429450638,712 CLARK AVE,OldTown
902103120,1944,5,6,5,0,1910,2,0,4,1950,6,5,10307,972,972,972,3,2,3,42.032211292796056,-93.61892575481906,103500,229310.94735349677,-125810.94735349677,621 11TH ST 619,OldTown
910205020,1192,6,6,3,0,1920,1,0,3,1950,5,5,6402,596,596,596,3,2,3,42.021477530612245,-93.6253292244898,78000,203547.7447301225,-125547.7447301225,203 S MAPLE AVE,IDOTRR
902205070,407,5,6,5,0,1946,1,0,1,1950,2,5,7311,407,-,407,3,2,3,42.032131,-93.606876,46500,171664.29620309753,-125164.29620309753,1101 MAXWELL AVE,OldTown
902456015,1020,6,6,3,0,1918,1,0,2,1950,3,3,4761,1020,-,1020,2,-,3,42.02348365,-93.60706065,64500,188223.9843279723,-123723.98432797231,115 CENTER AVE,IDOTRR
531479020,784,2,5,5,5,1928,1,0,2,1950,6,3,9000,784,-,784,3,2,2,42.03529173469388,-93.68036485714286,76000,199217.63596693214,-123217.63596693214,4603 HUTCHISON ST,SawyerW
910202030,816,6,6,3,0,1922,1,0,2,1950,5,7,3672,816,-,816,3,2,3,42.0227918367347,-93.62548479591837,75200,198253.3729934403,-123053.37299344031,1108 LINCOLN WAY,IDOTRR
903454020,819,6,6,3,0,1919,1,0,2,1950,5,4,9000,819,-,610,4,-,3,42.02510471428571,-93.62715557142857,72000,194620.36233593494,-122620.36233593494,1214 N 3RD ST,IDOTRR
902106060,2372,5,6,5,0,1892,2,0,4,1965,5,4,6600,1378,994,994,3,3,3,42.03142297959184,-93.61852646938776,107500,229891.9837779835,-122391.98377798349,1003 WILSON AVE,OldTown
903458110,1406,6,6,3,0,1920,1,0,3,1950,6,7,7920,1035,371,319,2,-,3,42.02295687755102,-93.62546034693877,89500,211834.2057924643,-122334.20579246429,1107 LINCOLN WAY,IDOTRR
902207110,840,5,6,5,0,1920,1,0,2,1950,3,4,5747,840,-,798,2,3,3,42.031128547575314,-93.60684206639307,64000,186257.63109556487,-122257.63109556487,1009 MAXWELL AVE,OldTown
902100030,764,5,6,5,0,1925,1,0,2,2004,5,5,5232,764,-,680,3,3,2,42.03439316763602,-93.61898138864949,73000,194537.53705382597,-121537.53705382597,618 13TH ST,OldTown
902330010,2358,5,6,5,0,1872,2,0,4,1987,8,5,5250,938,1215,684,3,-,3,42.028892633438076,-93.61086585885806,122000,242756.06253982458,-120756.06253982458,114 8TH ST,OldTown
903204095,935,5,6,5,0,1930,1,0,2,1960,5,6,9100,779,-,742,3,3,3,42.03348381632653,-93.62577067346939,79500,200055.4672875058,-120555.4672875058,1209 NORTHWESTERN AVE,BrkSide
902134100,899,5,6,5,0,1910,1,0,2,1950,5,6,6756,899,-,481,3,2,3,42.03025391265237,-93.61426001934532,78000,198314.5375345319,-120314.5375345319,321 9TH ST,OldTown
902301060,1510,5,6,5,0,1910,2,0,3,1950,4,4,9600,833,677,677,4,3,2,42.02911030612245,-93.61709559183673,87500,207775.76059132858,-120275.76059132858,809 CLARK AVE,OldTown
535353190,1458,5,2,4,1,1948,1,0,3,1950,6,5,17503,912,546,912,3,3,3,42.03586727206577,-93.62030063844821,97500,217559.29814546,-120059.29814546,1404 GRAND AVE,NAmes
902325070,2138,5,6,5,0,1898,2,0,2,1965,5,5,8100,1075,1063,849,3,2,3,42.02907646938775,-93.61392424489796,106000,225572.29747534014,-119572.29747534014,803 KELLOGG AVE,OldTown
923226250,1092,6,6,3,3,1970,1,1,3,1970,4,7,1476,546,546,546,3,-,3,41.992379697702724,-93.6030124276298,76000,195491.18695584877,-119491.18695584877,619 MEADOW PL,MeadowV
909101060,864,4,7,6,1,1914,1,0,2,1950,3,3,8248,864,-,864,3,-,3,42.02208247765018,-93.65692684113985,67000,186363.0173507219,-119363.0173507219,2910 WOOD ST,Edwards
527405130,864,5,2,4,1,1970,1,0,3,1970,4,6,7038,864,-,864,3,3,3,42.05328469387755,-93.62721524489797,76500,195503.74648482125,-119003.74648482125,1202 WHEELER ST,NAmes
902206020,492,5,6,5,0,1921,1,0,1,1950,3,5,7830,492,-,492,3,2,2,42.03195016326531,-93.61018020408163,61500,180304.2165179768,-118804.2165179768,118 E 11TH ST,OldTown
527450210,987,6,6,2,1,1973,1,1,2,1973,6,5,1953,483,504,483,3,3,3,42.0525671934726,-93.62765172237602,83000,201699.35264684173,-118699.35264684173,1333 TRUMAN PL,BrDale
923228250,1092,6,6,3,3,1970,1,1,3,1970,4,5,2001,546,546,546,3,3,3,41.99172278896287,-93.60157702884217,75000,193568.26718554593,-118568.26718554593,723 GARNET DR,MeadowV
534450090,334,5,6,5,0,1946,1,0,1,1950,1,3,5000,334,-,0,2,-,-,42.036499771402205,-93.62970391791234,39300,157656.6254759094,-118356.62547590939,1501 SUMMIT AVE,BrkSide
905200160,1006,2,5,5,5,1959,1,0,3,1959,5,3,9000,1006,-,1006,3,-,3,42.033550326530616,-93.66555634693879,80000,197981.79087937681,-117981.79087937681,1209 SCHOLL RD,Sawyer
903425270,1316,5,6,5,0,1926,1,0,4,1950,5,5,8550,960,356,750,3,3,2,42.02743925,-93.62515039490023,90000,207866.71140428638,-117866.71140428638,616 RIDGEWOOD AVE,BrkSide
1007100110,1836,6,6,3,0,1900,2,0,4,1950,5,1,56600,1150,686,686,3,3,3,42.02265498235664,-93.57832729307644,103000,220258.985763639,-117258.98576363901,2520 E LINCOLN WAY,IDOTRR
535377070,715,5,2,4,1,1929,1,0,2,1950,3,3,10914,715,-,715,3,2,3,42.03720520408163,-93.61080818367347,68000,184956.4194292792,-116956.4194292792,1507 DUFF AVE,NAmes
903235100,520,5,6,5,0,1927,1,0,1,1950,4,6,6324,520,-,520,2,2,3,42.03046517167965,-93.62447142863358,68500,185293.55305049813,-116793.55305049813,916 NORTHWESTERN AVE,BrkSide
527451290,987,6,6,2,1,1971,1,1,2,1971,6,5,1680,483,504,483,3,3,3,42.051671928125494,-93.62770173042392,85400,201884.74721982534,-116484.74721982534,1358 BARKLEY CT,BrDale
905480160,1456,4,7,6,1,1948,1,0,4,1950,5,3,7585,1002,454,810,3,3,2,42.022668,-93.65880200000001,91500,207755.94284328574,-116255.94284328574,3011 LINCOLN WAY,Edwards
902402150,1022,5,6,5,0,1910,1,0,2,2006,5,4,7200,1022,-,1022,3,3,3,42.028083367346944,-93.6084256122449,85000,201173.553266001,-116173.55326600099,217 E 7TH ST,OldTown
533350090,2944,7,5,9,6,1977,2,2,3,1977,9,3,24572,1599,1345,994,4,3,4,42.03744755908851,-93.6575664153229,150000,266012.35278366995,-116012.35278366995,1712 AMHERST DR,Veenker
534451020,670,5,6,5,0,1945,1,0,2,1950,3,5,3500,442,228,370,2,-,3,42.03605240841249,-93.62874606568023,64000,179969.89876844868,-115969.89876844868,1423 RIDGEWOOD AVE,BrkSide
923228390,1092,6,6,3,3,1976,1,1,3,1976,4,3,1890,546,546,546,3,3,3,41.99181325243282,-93.60330967646463,75190,191032.66107004753,-115842.66107004753,3418 HARCOURT DR,MeadowV
535383060,599,5,6,5,0,1940,1,0,2,1950,2,5,5400,599,-,416,4,-,2,42.034635958878084,-93.61105051866134,59000,174467.16238119075,-115467.16238119075,117 13TH ST,OldTown
527451410,1092,6,6,2,1,1971,1,1,3,1971,6,5,1680,525,567,525,3,3,3,42.05168394906352,-93.62743413389023,88000,203465.74593613218,-115465.74593613218,1314 BARKLEY CT,BrDale
902106120,1022,5,6,5,0,1922,1,0,2,1950,5,5,4480,1022,-,1022,2,3,2,42.0314243877551,-93.62020748979592,89500,204908.04607707303,-115408.04607707303,1004 GRAND AVE,OldTown
904302020,879,2,3,7,5,1936,1,0,2,1950,5,3,5220,879,-,830,3,3,3,42.02789525,-93.6566373245119,80000,195175.78389563653,-115175.78389563653,2818 OAKLAND ST,SWISU
534450110,666,5,6,5,0,1946,1,0,2,1950,3,3,5000,666,-,666,4,-,2,42.03566082068494,-93.62958292930873,64500,179658.0032430687,-115158.0032430687,1441 SUMMIT AVE,BrkSide
902204080,861,5,6,5,0,1920,1,0,2,1950,4,6,7404,861,-,861,3,3,2,42.039218,-93.609681,80000,194674.7132652666,-114674.71326526659,1102 CARROLL AVE,OldTown
903231060,800,5,6,5,0,1936,1,0,1,1950,2,3,6120,800,-,264,2,-,3,42.03234790909091,-93.62368281818182,60000,174550.6591267665,-114550.65912676649,1109 MARSTON AVE,BrkSide
911102180,1049,6,6,3,0,1910,1,0,2,2000,4,7,5150,671,378,356,3,1,1,42.021476657417224,-93.6168112727172,80900,195231.29862831382,-114331.29862831382,202 S WALNUT AVE,IDOTRR
