PID,Latitude,Longitude,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood,Value
528351010,42.05198234419191,-93.65745014659079,4316,7,5,9,6,1994,3,1,4,1995,10,6,21535,2444,1872,2444,5,3,5,755000,312897.5673735776,442102.4326264224,3115 BALSAM CIR,NoRidge,overvalued
528150070,42.060462,-93.655516,2364,10,5,6,5,2009,2,1,2,2010,9,5,12919,2364,-,2330,5,3,5,611657,265695.4153257805,345961.5846742195,4101 VALLEY VIEW RD,NridgHt,overvalued
528164060,42.05847504704884,-93.65680995634683,2470,10,5,6,5,2003,1,1,1,2003,10,5,12720,2470,-,2535,5,3,5,615000,274787.17756960425,340212.82243039575,3320 FOXLEY DR,NridgHt,overvalued
528110020,42.0630493,-93.6559183,2674,10,5,6,5,2007,2,1,2,2007,10,5,13693,2674,-,2630,5,3,5,610000,278062.2517385111,331937.7482614889,3326 SEDWICK ST,NridgHt,overvalued
528320060,42.05322805592855,-93.65764873299153,3627,7,5,9,6,1995,3,1,4,1996,10,5,35760,1831,1796,1930,4,3,5,625000,296301.13285878085,328698.86714121915,3327 GOLDENROD CIR,NoRidge,overvalued
527216080,42.06084660866363,-93.62614208665285,2338,10,5,6,5,2006,2,1,4,2007,9,5,51974,2338,-,2660,4,4,5,591587,271966.673308134,319620.326691866,4120 LAURA CT,StoneBr,overvalued
528360050,42.049413962912574,-93.6561853591516,3500,7,5,9,6,1993,3,1,4,1994,9,5,17242,1933,1567,1733,5,3,5,584500,283231.2612187263,301268.7387812737,2911 RIDGETOP RD,NoRidge,overvalued
528106020,42.062091597199526,-93.65750893531013,2402,10,5,6,5,2008,2,0,2,2008,10,5,15431,2402,-,3094,5,3,5,555000,273904.8388913756,281095.1611086244,3324 STOCKBURY ST,NridgHt,overvalued
527214060,42.06007471428571,-93.62771,2698,10,5,6,5,2006,2,1,4,2006,10,5,16052,1850,848,1850,5,3,5,535000,271962.9367056643,263037.0632943357,4008 FRANCES E DAVIS CT,StoneBr,overvalued
527216070,42.060878739096815,-93.62613914098549,3279,10,5,6,5,2003,3,1,4,2003,8,5,53504,1690,1589,1650,5,3,4,538000,280705.02287359926,257294.97712640074,4126 LAURA CT,StoneBr,overvalued
528118050,42.06042720408163,-93.65744926530613,2290,10,5,6,5,2007,2,1,2,2007,10,5,17169,2290,-,2320,5,3,5,500067,270127.10975200776,229939.89024799224,3305 PRESTON CIR,NridgHt,overvalued
528176010,42.05735590330952,-93.65612294798628,2696,10,5,6,5,2003,2,1,3,2004,9,5,14300,2696,-,2846,5,3,5,500000,274413.5922230957,225586.4077769043,3807 BRIDGEPORT DR,NridgHt,overvalued
527256120,42.05881126845638,-93.62850830201342,2000,10,5,6,5,2005,2,1,3,2005,9,5,18261,2000,-,1910,5,3,5,470000,254508.89256752978,215491.10743247022,1210 KINYON CIR,StoneBr,overvalued
906412010,42.02721361270797,-93.68678307886384,2276,3,7,9,1,2008,2,0,3,2008,9,5,11778,2276,-,2271,5,4,4,475000,264636.47687465965,210363.52312534035,532 WESTFIELD RD,CollgCr,overvalued
528110040,42.0630493,-93.6559183,2552,10,5,6,5,2007,2,0,3,2007,9,5,13891,2552,-,2552,5,3,5,479069,269843.9227623221,209225.07723767788,3308 SEDWICK ST,NridgHt,overvalued
528441090,42.05310115636974,-93.64139716702556,2490,7,5,9,6,2005,2,0,2,2006,9,5,11128,2490,-,2458,5,3,5,468000,267663.77769152867,200336.22230847133,2426 YORKSHIRE CIR,Somerst,overvalued
527256040,42.05900058389262,-93.6290162818792,2042,10,5,6,5,2006,2,0,3,2007,10,5,13870,2042,-,1742,5,3,5,455000,257626.20664654556,197373.79335345444,1303 KINYON CIR,StoneBr,overvalued
528102140,42.0630493,-93.6559183,2772,10,5,6,5,2007,3,1,4,2007,9,5,14257,1794,978,1776,5,3,5,462000,268714.712526976,193285.287473024,3209 SEDWICK ST,NridgHt,overvalued
528327060,42.05561906653435,-93.65128350496198,2633,7,5,9,6,2001,2,1,2,2002,10,5,11400,2633,-,2633,5,3,5,466500,274709.18211682304,191790.81788317696,3022 ALMOND RD,NoRidge,overvalued
528114050,42.06127303702146,-93.65619674912348,1976,10,5,6,5,2006,2,0,2,2007,8,5,14977,1976,-,1976,4,3,5,440000,248425.79175992677,191574.20824007323,3218 WESTON DR,NridgHt,overvalued
528106110,42.06129117942748,-93.65753648637376,2046,10,5,6,5,2005,2,1,2,2006,10,5,15431,2046,-,1994,5,3,5,450000,260950.11575720503,189049.88424279497,3331 WESTON DR,NridgHt,overvalued
528110010,42.0630493,-93.6559183,2296,10,5,6,5,2008,2,1,3,2008,10,5,13478,1728,568,1722,5,3,5,451950,263389.03538604407,188560.96461395593,3332 SEDWICK ST,NridgHt,overvalued
527256030,42.05900223489933,-93.62905038926175,2234,10,5,6,5,2006,1,1,1,2006,8,5,14082,2234,-,2220,4,3,5,441929,255344.50934415348,186584.49065584652,1309 KINYON CIR,StoneBr,overvalued
528118090,42.06026381632653,-93.6575450612245,2790,10,5,6,5,2005,2,1,4,2006,10,5,12539,1632,1158,1620,5,3,5,460000,274513.3034817619,185486.6965182381,3316 PRESTON CIR,NridgHt,overvalued
902400110,42.02953089547328,-93.61041103348938,3608,5,6,5,0,1892,2,1,4,1993,10,9,22950,1518,1518,1107,5,5,3,475000,291966.2740378216,183033.72596217837,804 DUFF AVE,OldTown,overvalued
528166090,42.058839,-93.655045,2452,10,5,6,5,2003,2,0,3,2003,9,5,15274,2452,-,2452,5,3,5,445000,267679.25454093324,177320.74545906676,3201 FOXLEY DR,NridgHt,overvalued
921128050,41.993090368244026,-93.65077168001568,1978,6,6,3,3,2007,2,0,2,2007,9,5,12633,1978,-,1978,5,3,5,425000,253403.41288899916,171596.58711100084,2624 COTTONWOOD RD,Timber,overvalued
528170040,42.05852329023244,-93.65218318239246,2728,10,5,6,5,2005,2,1,4,2006,9,5,20431,1848,880,1848,5,3,5,437154,269299.6479289866,167854.35207101342,3108 ROXBORO DR,NridgHt,overvalued
528114010,42.061122147279214,-93.65757749527188,1868,10,5,6,5,2005,2,0,2,2005,9,5,14780,1868,-,1868,5,3,5,415000,253050.77026723823,161949.22973276177,3334 WESTON DR,NridgHt,overvalued
528178070,42.057185848985235,-93.65531279784706,2649,10,5,6,5,2001,2,1,4,2002,8,5,16900,1515,1134,1479,4,3,5,421250,259428.4351274405,161821.5648725595,3728 BRIDGEPORT DR,NridgHt,overvalued
527252070,42.05789536974548,-93.62985262130675,1419,10,5,6,5,2007,2,0,2,2007,8,6,8089,1419,-,1419,4,3,4,392000,231232.35483176433,160767.64516823567,3817 HOOVER AVE,StoneBr,overvalued
528431040,42.05445930526654,-93.64231225354779,1966,7,5,9,6,2007,2,0,1,2007,10,5,12291,1966,-,1966,5,3,5,419005,260036.09687721767,158968.90312278233,3217 KENT AVE,Somerst,overvalued
528110110,42.062256904358904,-93.6574877363118,2464,10,5,6,5,2007,2,1,4,2007,8,5,13693,2464,-,2418,5,3,5,417500,261461.5319567719,156038.4680432281,3323 STOCKBURY ST,NridgHt,overvalued
