Prop_Addr,Delta,SalePrice,Value
931 MAXWELL AVE,170K,13K,undervalued by 
208 S WALNUT AVE,161K,40K,undervalued by 
1003 LINCOLN WAY,151K,50K,undervalued by 
3412 TAFT AVE,142K,82K,undervalued by 
824 CLARK AVE,140K,90K,undervalued by 
904 20TH ST 906,138K,85K,undervalued by 
202 STATE AVE,137K,35K,undervalued by 
122 HOWARD AVE,137K,63K,undervalued by 
1313 GARFIELD AVE,137K,62K,undervalued by 
313 S 4TH ST,136K,35K,undervalued by 
211 N HAZEL AVE,135K,55K,undervalued by 
107 S MAPLE AVE,134K,55K,undervalued by 
606 NORTHWESTERN AVE,133K,52K,undervalued by 
731 5TH ST,131K,98K,undervalued by 
322 7TH ST,131K,58K,undervalued by 
1407 DOUGLAS AVE,130K,64K,undervalued by 
212 WASHINGTON AVE,130K,68K,undervalued by 
2908 WOOD ST,129K,58K,undervalued by 
828 BURNETT AVE,129K,79K,undervalued by 
822 CARROLL AVE,129K,55K,undervalued by 
1430 SUMMIT AVE,128K,52K,undervalued by 
116 CHERRY AVE,128K,65K,undervalued by 
3412 TRIPP ST 3414,127K,62K,undervalued by 
1126 CLARK AVE,127K,64K,undervalued by 
103 HOWARD AVE,127K,79K,undervalued by 
712 CLARK AVE,126K,87K,undervalued by 
621 11TH ST 619,126K,104K,undervalued by 
203 S MAPLE AVE,126K,78K,undervalued by 
1101 MAXWELL AVE,125K,46K,undervalued by 
115 CENTER AVE,124K,64K,undervalued by 
4603 HUTCHISON ST,123K,76K,undervalued by 
1108 LINCOLN WAY,123K,75K,undervalued by 
1214 N 3RD ST,123K,72K,undervalued by 
1003 WILSON AVE,122K,108K,undervalued by 
1107 LINCOLN WAY,122K,90K,undervalued by 
1009 MAXWELL AVE,122K,64K,undervalued by 
618 13TH ST,122K,73K,undervalued by 
114 8TH ST,121K,122K,undervalued by 
1209 NORTHWESTERN AVE,121K,80K,undervalued by 
321 9TH ST,120K,78K,undervalued by 
809 CLARK AVE,120K,88K,undervalued by 
1404 GRAND AVE,120K,98K,undervalued by 
803 KELLOGG AVE,120K,106K,undervalued by 
619 MEADOW PL,119K,76K,undervalued by 
2910 WOOD ST,119K,67K,undervalued by 
1202 WHEELER ST,119K,76K,undervalued by 
118 E 11TH ST,119K,62K,undervalued by 
1333 TRUMAN PL,119K,83K,undervalued by 
723 GARNET DR,119K,75K,undervalued by 
1501 SUMMIT AVE,118K,39K,undervalued by 
1209 SCHOLL RD,118K,80K,undervalued by 
616 RIDGEWOOD AVE,118K,90K,undervalued by 
2520 E LINCOLN WAY,117K,103K,undervalued by 
1507 DUFF AVE,117K,68K,undervalued by 
916 NORTHWESTERN AVE,117K,68K,undervalued by 
1358 BARKLEY CT,116K,85K,undervalued by 
3011 LINCOLN WAY,116K,92K,undervalued by 
217 E 7TH ST,116K,85K,undervalued by 
1712 AMHERST DR,116K,150K,undervalued by 
1423 RIDGEWOOD AVE,116K,64K,undervalued by 
3418 HARCOURT DR,116K,75K,undervalued by 
117 13TH ST,115K,59K,undervalued by 
1314 BARKLEY CT,115K,88K,undervalued by 
1004 GRAND AVE,115K,90K,undervalued by 
2818 OAKLAND ST,115K,80K,undervalued by 
1441 SUMMIT AVE,115K,64K,undervalued by 
1102 CARROLL AVE,115K,80K,undervalued by 
1109 MARSTON AVE,115K,60K,undervalued by 
202 S WALNUT AVE,114K,81K,undervalued by 
721 CLARK AVE,114K,118K,undervalued by 
633 9TH ST,114K,95K,undervalued by 
1422 SUMMIT AVE,114K,76K,undervalued by 
3223 LETTIE ST,114K,80K,undervalued by 
633 MEADOW PL,114K,73K,undervalued by 
304 SOUTH DAKOTA AVE,114K,85K,undervalued by 
1228 STAFFORD AVE,114K,93K,undervalued by 
507 HAYWARD AVE,113K,60K,undervalued by 
611 MEADOW PL,113K,79K,undervalued by 
233 WASHINGTON AVE,113K,89K,undervalued by 
520 FOREST GLEN,113K,61K,undervalued by 
214 HICKORY DR,113K,82K,undervalued by 
115 E 7TH ST,113K,94K,undervalued by 
719 MEADOW PL,113K,80K,undervalued by 
301 S RUSSELL AVE,113K,72K,undervalued by 
246 S FRANKLIN AVE,113K,104K,undervalued by 
2326 KNAPP ST,113K,100K,undervalued by 
250 CAMPUS AVE 248,113K,100K,undervalued by 
317 WASHINGTON AVE,112K,75K,undervalued by 
535 MEADOW CT,112K,85K,undervalued by 
1464 BRECKINRIDGE CT,112K,89K,undervalued by 
2919 LINCOLN WAY,112K,104K,undervalued by 
1017 N 2ND ST,112K,82K,undervalued by 
130 CHERRY AVE,112K,81K,undervalued by 
510 NORTHWESTERN AVE,112K,87K,undervalued by 
612 STANTON AVE,111K,91K,undervalued by 
3413 HARCOURT DR,111K,84K,undervalued by 
111 9TH ST,111K,95K,undervalued by 
4004 ONTARIO ST,111K,94K,undervalued by 
1318 BARKLEY CT,111K,90K,undervalued by 
605 MEADOW PL,111K,76K,undervalued by 
1005 CURTISS AVE,111K,79K,undervalued by 
1414 SUMMIT AVE,111K,80K,undervalued by 
803 12TH ST,110K,93K,undervalued by 
1230 BURNETT AVE,110K,80K,undervalued by 
1224 LINCOLN WAY,110K,87K,undervalued by 
1015 CURTISS AVE,110K,100K,undervalued by 
3422 HARCOURT DR,110K,86K,undervalued by 
308 SOUTH DAKOTA AVE,109K,98K,undervalued by 
424 STANTON AVE,109K,102K,undervalued by 
626 MEADOW PL,109K,98K,undervalued by 
1209 HARDING AVE,109K,105K,undervalued by 
238 VILLAGE DR 240,109K,82K,undervalued by 
922 DUFF AVE,109K,100K,undervalued by 
3121 LINCOLN WAY,109K,95K,undervalued by 
1119 ROOSEVELT AVE,109K,81K,undervalued by 
3002 WOODLAND ST,108K,95K,undervalued by 
302 VILLAGE DR,108K,85K,undervalued by 
1515 NORTH DAKOTA AVE,108K,82K,undervalued by 
1114 N 4TH ST,108K,94K,undervalued by 
519 NORTHWESTERN AVE 521,108K,122K,undervalued by 
2006 KILDEE ST,108K,104K,undervalued by 
3022 STORY ST,108K,96K,undervalued by 
2825 LINCOLN WAY,108K,115K,undervalued by 
328 S RUSSELL AVE,108K,68K,undervalued by 
309 COLORADO CIR,108K,80K,undervalued by 
119 CHERRY AVE,108K,78K,undervalued by 
1401 RIDGEWOOD AVE,108K,72K,undervalued by 
1326 DOUGLAS AVE,108K,78K,undervalued by 
1232 NORTHWESTERN AVE,107K,107K,undervalued by 
609 MEADOW PL,107K,86K,undervalued by 
3412 HARCOURT DR,107K,81K,undervalued by 
1714 DOUGLAS AVE,107K,100K,undervalued by 
417 10TH ST,107K,105K,undervalued by 
1226 NORTHWESTERN AVE,107K,87K,undervalued by 
621 DOUGLAS AVE 101,107K,134K,undervalued by 
1018 10TH ST,107K,89K,undervalued by 
910 BURNETT AVE,107K,103K,undervalued by 
1436 BRECKINRIDGE CT,107K,94K,undervalued by 
219 WILMOTH AVE 221,106K,108K,undervalued by 
110 S WILMOTH AVE,106K,79K,undervalued by 
2312 KNAPP ST,106K,105K,undervalued by 
2816 LINCOLN WAY,106K,104K,undervalued by 
1406 RIDGEWOOD AVE,106K,87K,undervalued by 
1410 SUMMIT AVE,106K,86K,undervalued by 
1014 MARSTON AVE,106K,80K,undervalued by 
3920 DAWES DR,106K,115K,undervalued by 
1427 SUMMIT AVE,106K,82K,undervalued by 
2231 STORM ST,106K,90K,undervalued by 
1428 BRECKINRIDGE CT,106K,97K,undervalued by 
213 TODD CIR,106K,100K,undervalued by 
1315 BARKLEY CT,106K,96K,undervalued by 
2201 BARR DR,106K,105K,undervalued by 
632 MEADOW PL,106K,80K,undervalued by 
3915 QUEBEC ST,106K,90K,undervalued by 
727 GARNET DR,106K,88K,undervalued by 
926 DUFF AVE,105K,91K,undervalued by 
1329 GRAND AVE,105K,105K,undervalued by 
1235 MICHIGAN AVE,105K,85K,undervalued by 
3122 STORY ST,105K,105K,undervalued by 
717 10TH ST,105K,102K,undervalued by 
4301 TORONTO ST,105K,112K,undervalued by 
2407 DUFF AVE,105K,110K,undervalued by 
1101 IOWA AVE,105K,64K,undervalued by 
108 N RUSSELL AVE,105K,100K,undervalued by 
1502 DOUGLAS AVE,104K,87K,undervalued by 
3218 LETTIE ST,104K,105K,undervalued by 
217 S HAZEL AVE,104K,123K,undervalued by 
428 KEN MARIL RD,104K,94K,undervalued by 
721 GARNET DR,104K,90K,undervalued by 
818 CARROLL AVE 816,104K,122K,undervalued by 
2324 STORM ST,104K,115K,undervalued by 
615 MEADOW PL,104K,86K,undervalued by 
3008 WOOD ST,104K,110K,undervalued by 
1308 INDIANA AVE,104K,100K,undervalued by 
3322 WEST ST,104K,93K,undervalued by 
217 S HYLAND AVE,104K,118K,undervalued by 
1208 TRUMAN PL,104K,100K,undervalued by 
1323 CARROLL AVE,104K,81K,undervalued by 
308 VILLAGE DR,103K,90K,undervalued by 
719 GARNET DR,103K,88K,undervalued by 
304 S RIVERSIDE DR,103K,85K,undervalued by 
909 KELLOGG AVE,103K,97K,undervalued by 
1115 GRAND AVE,103K,110K,undervalued by 
107 N RUSSELL AVE,103K,91K,undervalued by 
1115 IOWA AVE,103K,90K,undervalued by 
3413 COY ST,103K,96K,undervalued by 
216 FRANKLIN AVE,103K,86K,undervalued by 
1421 STAFFORD AVE,103K,102K,undervalued by 
1203 SCOTT AVE,103K,112K,undervalued by 
1125 GRAND AVE,103K,110K,undervalued by 
1402 DOUGLAS AVE,102K,87K,undervalued by 
3307 NIXON AVE,102K,88K,undervalued by 
803 6TH ST,102K,117K,undervalued by 
311 S WALNUT AVE,102K,120K,undervalued by 
923 MAXWELL AVE,102K,100K,undervalued by 
148 S FRANKLIN AVE,102K,113K,undervalued by 
205 DOTSON DR,102K,95K,undervalued by 
227 DOTSON DR,102K,110K,undervalued by 
512 10TH ST,102K,100K,undervalued by 
548 MEADOW CT,102K,91K,undervalued by 
427 13TH ST,102K,112K,undervalued by 
1103 CLARK AVE,102K,96K,undervalued by 
707 MEADOW PL,102K,97K,undervalued by 
2905 WOOD ST,102K,98K,undervalued by 
1317 TRUMAN PL,102K,100K,undervalued by 
1124 N 2ND ST,102K,101K,undervalued by 
715 GARNET DR,102K,84K,undervalued by 
1112 IOWA AVE,101K,89K,undervalued by 
1021 LINCOLN WAY,101K,116K,undervalued by 
721 MEADOW PL,101K,94K,undervalued by 
125 13TH ST,101K,105K,undervalued by 
1103 WILSON AVE,101K,112K,undervalued by 
1410 CARROLL AVE 1412,101K,90K,undervalued by 
706 CLARK AVE,101K,130K,undervalued by 
604 CARROLL AVE,101K,125K,undervalued by 
306 COLORADO CIR,101K,84K,undervalued by 
203 STATE AVE,101K,100K,undervalued by 
2321 BAKER ST,100K,96K,undervalued by 
212 10TH ST 210,100K,93K,undervalued by 
2304 KELLOGG AVE,100K,109K,undervalued by 
3319 TRIPP ST,100K,92K,undervalued by 
409 S FRANKLIN AVE,100K,82K,undervalued by 
626 13TH ST,100K,103K,undervalued by 
126 S FRANKLIN AVE,100K,98K,undervalued by 
301 ABRAHAM DR,100K,102K,undervalued by 
212 S HAZEL AVE,100K,110K,undervalued by 
911 MAXWELL AVE,100K,100K,undervalued by 
3107 LINCOLN WAY,100K,108K,undervalued by 
2812 WOOD ST,100K,117K,undervalued by 
546 MEADOW CT,99K,95K,undervalued by 
213 7TH ST,99K,115K,undervalued by 
4203 TORONTO ST 4205,99K,125K,undervalued by 
1212 BURNETT AVE,99K,100K,undervalued by 
307 S HAZEL AVE,99K,100K,undervalued by 
2223 MELROSE AVE,99K,119K,undervalued by 
3442 SOUTHDALE DR,99K,104K,undervalued by 
1520 BURNETT AVE,99K,90K,undervalued by 
1023 GRAND AVE,99K,124K,undervalued by 
1425 TRUMAN PL,99K,103K,undervalued by 
1471 TRUMAN PL,99K,106K,undervalued by 
323 FRANKLIN AVE,99K,100K,undervalued by 
3232 LETTIE ST,99K,108K,undervalued by 
1203 KELLOGG AVE,98K,107K,undervalued by 
902 TOP O HOLLOW RD,98K,97K,undervalued by 
2822 OAKLAND ST 2824,98K,108K,undervalued by 
