PID,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
533350090,150000,269283.3112542804,-119283.31125428039,1712 AMHERST DR,Veenker
527355150,278000,367251.9170690895,-89251.91706908948,1910 STEVENSON DR,NWAmes
527326040,82500,162545.78162837814,-80045.78162837814,3412 TAFT AVE,NWAmes
534427010,84900,159391.77823601782,-74491.77823601782,904 20TH ST 906,NAmes
532378120,62383,130944.94171387606,-68561.94171387606,1313 GARFIELD AVE,Sawyer
528108020,253293,311777.94044526335,-58484.940445263346,3122 SEDWICK ST,NridgHt
902332030,133900,192368.56721315277,-58468.56721315277,621 DOUGLAS AVE 101,OldTown
535125010,180000,238389.65389421117,-58389.653894211166,2735 DUFF AVE,NAmes
916475040,315000,366031.72372442065,-51031.72372442065,2320 SUNCREST DR,Timber
904101070,200500,250353.34368493827,-49853.34368493827,2824 ROSS RD,ClearCr
528365070,260000,307928.30926690786,-47928.30926690786,3145 SYCAMORE RD,NoRidge
528477050,310000,357838.7650129798,-47838.7650129798,2525 KINGSTON DR,Somerst
916455150,282000,327678.27863549185,-45678.27863549185,2329 SUNCREST DR,Timber
533251110,255000,299910.41972217476,-44910.41972217476,2816 PINEHURST CIR,Veenker
527225035,164000,208499.70568576717,-44499.70568576717,4011 DAWES DR,Gilbert
923251180,131000,175348.52195535108,-44348.52195535108,413 TEAGARDEN DR,Mitchel
527182020,130000,173468.55869017213,-43468.558690172125,3916 FLETCHER BLVD,StoneBr
527405130,76500,119850.18899790428,-43350.188997904275,1202 WHEELER ST,NAmes
528228295,175900,218852.10345175097,-42952.10345175097,2407 WESTWIND DR,Blmngtn
911102170,40000,82788.47058841233,-42788.470588412325,208 S WALNUT AVE,IDOTRR
535379060,64500,107030.83441663672,-42530.83441663672,1407 DOUGLAS AVE,OldTown
911370460,235000,277347.16629753617,-42347.16629753617,415 ASPEN RIDGE RD,Crawfor
906426060,277000,319059.6866111376,-42059.686611137586,4813 DOVER DR,ClearCr
902302150,90000,131721.32514729234,-41721.325147292344,824 CLARK AVE,OldTown
535426130,135000,176382.53057461928,-41382.530574619275,621 CARR DR,NAmes
533130020,190000,229813.88663684134,-39813.886636841344,2920 NORTHRIDGE PKWY,NoRidge
528102010,315000,353691.8928121572,-38691.892812157224,4205 WEMBLEY AVE,NridgHt
533130170,285000,322342.09523414786,-37342.095234147855,2430 RIDGETOP CIR,NoRidge
533208020,194000,229110.72304521955,-35110.72304521955,2816 NORTHRIDGE LN,Somerst
533352170,130500,165172.4727922071,-34672.47279220709,1314 IOWA CIR,Sawyer
527352150,154000,188527.70638616433,-34527.706386164326,2108 STEVENSON DR,NWAmes
534451170,52000,86290.55385699085,-34290.55385699085,1430 SUMMIT AVE,BrkSide
534126060,170000,204276.2603782444,-34276.26037824439,2645 CLEVELAND DR,NWAmes
905103060,121500,155776.20282548433,-34276.20282548433,3925 ROSS RD,Sawyer
528326030,250000,283958.9049565086,-33958.9049565086,3127 ALMOND RD,NoRidge
528174080,185850,219550.30275589626,-33700.302755896264,2902 HARRISON RD,NridgHt
528228345,195000,228104.2719840298,-33104.271984029794,2309 WESTWIND DR,Blmngtn
527183030,189000,221114.38008190377,-32114.38008190377,1527 STONE BROOKE RD,StoneBr
906380100,239000,271075.4946966501,-32075.494696650072,411 HARTFORD DR,CollgCr
924151050,188000,220060.6121683647,-32060.612168364692,3702 JEWEL DR,Mitchel
528142090,280000,311619.780297072,-31619.780297072022,4017 HASTINGS AVE,NridgHt
905226050,112000,143059.70742845582,-31059.70742845582,1203 SCOTT AVE,Sawyer
909176140,127000,157517.51873218792,-30517.51873218792,2521 LITTLE ST,SWISU
902408080,159500,189882.71280101515,-30382.71280101515,508 CARROLL AVE,OldTown
528222010,258000,288236.8270959776,-30236.827095977613,4106 WELBECK DR,Gilbert
526355170,244000,274090.66040084086,-30090.66040084086,2820 NORTHWOOD DR,NAmes
534425015,200000,230036.18038165168,-30036.180381651677,1925 HUNZIKER DR,NAmes
526355190,268000,297776.3544190236,-29776.354419023613,2910 NORTHWOOD DR,NAmes
527183060,188500,217889.65736502223,-29389.657365022227,1519 STONE BROOKE RD,StoneBr
528435050,275500,304786.17725990654,-29286.177259906544,2528 DALTON ST,Somerst
