PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,crime_rate,school_quality
909176150,856,126000,30,RL,0.0,7890,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,3,1,3,238.0,1,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856,0,0,1,0,1,0,2,1,TA,4,Typ,1,4,Detchd,1939,1,2,399.0,3,3,Y,0,0,0,0,166,0,0,0,None,0,3,2010,WD ,Normal,5,2
905476230,1049,139500,120,RL,42.0,4235,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,4,3,2,6,552.0,5,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049,0,0,1,0,2,0,2,1,Gd,5,Typ,0,0,Attchd,1984,3,2,266.0,3,3,Y,0,105,0,0,0,0,0,0,None,0,2,2009,WD ,Normal,1,4
911128020,1001,124900,30,C (all),60.0,6060,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,3,3,1,5,737.0,1,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001,0,0,0,0,1,0,2,1,Gd,5,Typ,0,0,Detchd,1930,1,2,216.0,3,1,N,154,0,42,86,0,0,0,0,None,0,11,2007,WD ,Normal,0,6
535377150,1039,114000,70,RL,80.0,8146,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,2,3,1,1,0.0,1,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,0,0,1,0,2,1,TA,6,Typ,0,0,Detchd,1900,1,2,281.0,3,3,N,0,0,168,0,111,0,0,0,None,0,5,2009,WD ,Normal,0,5
534177230,1665,227000,60,RL,70.0,8400,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,3,1,6,643.0,1,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810,855,0,1,0,2,1,3,1,Gd,6,Typ,0,0,Attchd,2001,3,2,528.0,3,3,Y,0,45,0,0,0,0,0,0,None,0,11,2009,WD ,Normal,1,6
908128060,1922,198500,85,RL,64.0,7301,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495,1427,0,0,0,3,0,4,1,Gd,7,Typ,1,5,BuiltIn,2003,2,2,672.0,3,3,Y,0,0,177,0,0,0,0,0,None,0,7,2009,ConLD,Normal,1,4
902135020,936,93000,20,RM,60.0,6000,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,2,3,1,1,0.0,1,0.0,936.0,936.0,GasA,TA,N,SBrkr,936,0,0,0,0,1,0,2,1,TA,4,Min2,0,0,Detchd,1953,1,2,576.0,3,3,Y,0,32,112,0,0,0,0,0,None,0,2,2009,WD ,Normal,0,5
528228540,1246,187687,20,RL,53.0,3710,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,4,3,3,1,0.0,1,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246,0,0,0,0,2,0,2,1,Gd,5,Typ,1,4,Attchd,2007,3,2,428.0,3,3,Y,100,24,0,0,0,0,0,0,None,0,3,2008,New,Partial,5,10
923426010,889,137500,20,RL,74.0,12395,Pave,0,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,3,3,1,5,647.0,1,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889,0,0,0,0,1,0,3,1,TA,6,Typ,0,0,Attchd,1984,1,2,484.0,3,3,Y,0,0,0,0,0,0,0,0,None,0,4,2008,WD ,Normal,3,6
908186050,1072,140000,180,RM,35.0,3675,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,4,3,3,6,467.0,1,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072,0,0,1,0,1,0,2,1,Gd,5,Typ,0,0,Basment,2005,3,2,525.0,3,3,Y,0,44,0,0,0,0,0,0,None,0,5,2007,WD ,Normal,1,4
