Prop_Addr,LandSlope,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtCond,BsmtExposure,HeatingQC,BsmtFullBath,BsmtHalfBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageQual,PavedDrive,Fence,GrLivArea,LotFrontage,LotArea,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,X2ndFlrSF,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,X3SsnPorch,ScreenPorch,PoolArea,MoSold,MSSubClass_30,MSSubClass_120,MSSubClass_160,MSSubClass_190,MSZoning_FV,LandContour_Bnk,LandContour_HLS,LotConfig_CulDSac,LotConfig_FR2,Neighborhood_BrkSide,Neighborhood_Crawfor,Neighborhood_Gilbert,Neighborhood_Mitchel,Neighborhood_NPkVill,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_StoneBr,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition2_PosN,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,RoofStyle_Hip,Exterior1st_BrkFace,Exterior1st_HdBoard,Exterior1st_Wd.Sdng,Exterior2nd_HdBoard,Exterior2nd_Plywood,MasVnrType_BrkFace,Foundation_PConc,CentralAir_N,SaleCondition_Abnorml,SaleCondition_Family,SaleCondition_Partial,crime_rate,school_quality,HouseAge,LastRemod,nb_appreciation,nb_income
3126 NORTHWOOD DR,3,6,5,2,3,4,3,2,1,0,0,3,1,3,8,4,3,2,0,1656,141,31770,112,639,0,441,1080,0,528,210,62,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,5,50,50,4,2
3115 NORTHWOOD DR,3,6,5,2,3,3,1,4,1,0,0,2,1,3,8,0,3,3,0,1293,0,11027,28,468,539,171,1178,0,452,280,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,52,52,4,2
3113 NORTHWOOD DR,3,6,6,2,3,3,1,3,1,0,0,2,1,4,8,3,3,3,0,1024,85,10533,244,773,0,235,1008,0,313,0,0,0,0,280,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,5,50,50,4,2
623 RIVER OAK DR,3,6,5,2,2,2,1,3,0,0,0,2,1,3,8,0,3,3,0,882,74,13008,0,564,0,318,882,0,502,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,53,53,4,2
627 RIVER OAK DR,3,5,5,2,3,3,2,2,0,0,1,3,1,3,8,3,3,3,0,1797,0,11765,302,1127,0,490,1617,0,963,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,49,49,4,2
3109 GROVE AVE,3,5,6,2,3,3,1,3,0,0,0,2,1,3,8,0,3,3,3,896,80,11622,0,468,144,270,882,0,730,140,0,0,0,120,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,49,49,4,2
630 RIVER OAK DR,3,6,6,2,3,3,1,3,0,0,1,3,1,4,8,0,3,3,0,1329,81,14267,108,923,0,406,1329,0,312,393,36,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,5,52,52,4,2
620 RIVER OAK DR,3,6,8,4,4,3,1,5,1,0,0,3,1,3,7,3,3,3,0,1414,87,11029,0,528,411,245,1184,0,601,0,51,0,0,190,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,50,6,4,2
3010 GROVE AVE,3,6,5,2,3,3,1,3,1,0,0,4,1,3,8,4,3,3,0,1434,85,10200,440,844,0,590,1434,0,528,80,21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,5,35,35,4,2
3006 KELLOGG AVE,3,6,6,2,3,3,1,3,0,0,0,3,1,3,8,4,3,3,0,1587,85,10667,302,838,0,749,1587,0,525,0,44,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,36,36,4,2
3010 KELLOGG AVE,3,7,5,2,3,4,3,3,1,0,0,2,1,3,8,1,3,3,2,1277,85,10628,0,778,0,499,1277,0,526,0,0,0,0,176,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,37,37,4,2
3004 NORTHWOOD DR,3,7,5,3,3,3,1,5,1,0,1,3,1,5,8,3,3,3,0,2110,93,11160,0,1065,0,1045,2110,0,522,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,42,42,4,2
2907 DUFF AVE,3,6,7,2,3,3,2,5,0,0,1,4,1,3,8,4,3,3,0,2117,0,12925,0,865,0,340,1205,0,550,0,42,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,5,38,38,4,2
2919 NORTHWOOD DR,3,7,6,2,3,3,2,4,0,0,0,3,1,3,8,3,3,3,0,1851,90,11727,434,0,0,1851,1851,0,506,0,146,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,5,37,37,4,2
2811 NORTHWOOD DR,3,6,5,2,2,3,2,3,0,0,1,4,1,3,8,4,3,3,0,2112,85,11075,0,500,276,176,952,1020,576,280,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,39,39,4,2
2802 THOMPSON DR,3,8,7,3,4,3,3,4,1,0,1,4,1,5,8,3,3,3,3,2704,75,13860,0,1410,0,542,1952,704,538,269,111,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,37,14,4,2
2820 NORTHWOOD DR,3,7,6,2,4,3,3,5,1,0,0,3,1,3,8,4,3,3,0,2223,95,13651,1115,1880,0,343,2223,0,516,300,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,34,34,4,2
2910 NORTHWOOD DR,2,8,6,3,3,4,3,5,1,0,0,4,1,4,8,3,3,3,0,2217,95,15865,0,351,823,1043,2217,0,621,81,207,0,0,224,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,37,37,4,2
4025 BERKSHIRE AVE,3,5,5,2,4,3,1,4,0,0,1,3,1,3,8,3,3,3,3,1629,74,13830,0,791,0,137,928,701,482,212,34,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,13,12,6,5
4011 BERKSHIRE AVE,3,6,6,2,3,3,1,5,0,0,1,3,1,4,8,4,3,3,0,1604,78,9978,20,602,0,324,926,678,470,360,36,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,10,12,12,6,5
3913 BERKSHIRE AVE,3,6,5,2,3,3,1,5,0,0,1,3,1,3,8,3,3,3,0,1604,72,8702,0,706,0,220,926,678,470,0,36,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,11,10,6,5
3907 BERKSHIRE AVE,3,6,5,2,3,3,1,5,1,0,1,3,1,3,8,3,3,3,0,1525,60,8238,0,700,0,113,813,712,400,421,72,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,10,9,8,6,5
