,GrLivArea,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,crime_rate,school_quality,HouseAge,LastRemod,nb_appreciation,nb_income,PID,SalePrice
0,856,30,5,0.0,7890,1,1,3,3,0,0,0,21,2,2,0,2,6,6,1939,1950,1,0,13,14,2,0.0,3,4,1,3,3,1,3,238.0,1,0.0,618.0,856.0,1,4,1,3,856,0,0,1.0,0.0,1,0,2,1,4,4,6,1,4,5,1939.0,1,2.0,399.0,3,3,2,0,0,0,0,166,0,0,0,1,0,3,2010,9,4,5,2,71,60,7,3,909176150,126000
1,1049,120,5,42.0,4235,1,1,3,3,0,4,0,7,2,2,4,2,5,5,1984,1984,1,0,6,6,1,149.0,2,4,1,4,3,2,6,552.0,5,393.0,104.0,1049.0,1,4,1,3,1049,0,0,1.0,0.0,2,0,2,1,2,5,6,0,0,1,1984.0,3,2.0,266.0,3,3,2,0,105,0,0,0,0,0,0,1,0,2,2009,9,4,1,4,25,25,6,7,905476230,139500
2,1001,30,1,60.0,6060,1,1,3,3,0,4,0,11,2,2,0,2,5,9,1930,2007,3,0,8,8,2,0.0,2,4,0,3,3,1,5,737.0,1,0.0,100.0,837.0,1,0,1,3,1001,0,0,0.0,0.0,1,0,2,1,2,5,6,0,0,5,1930.0,1,2.0,216.0,3,1,0,154,0,42,86,0,0,0,0,1,0,11,2007,9,4,0,6,77,0,3,6,911128020,124900
3,1039,70,5,80.0,8146,1,1,3,3,0,0,0,20,2,2,0,5,4,8,1900,2003,1,0,8,8,2,0.0,2,2,0,2,3,1,1,0.0,1,0.0,405.0,405.0,1,2,1,3,717,322,0,0.0,0.0,1,0,2,1,4,6,6,0,0,5,1900.0,1,2.0,281.0,3,3,0,0,0,168,0,111,0,0,0,1,0,5,2009,9,4,0,5,109,6,5,6,535377150,114000
4,1665,60,5,70.0,8400,1,1,3,3,0,4,0,17,2,2,0,5,8,6,2001,2001,1,0,12,13,2,0.0,2,4,2,4,3,1,6,643.0,1,0.0,167.0,810.0,1,0,1,3,810,855,0,1.0,0.0,2,1,3,1,2,6,6,0,0,1,2001.0,3,2.0,528.0,3,3,2,0,45,0,0,0,0,0,0,1,0,11,2009,9,4,1,6,8,8,2,6,534177230,227000
5,1922,85,5,64.0,7301,1,1,3,3,0,0,0,7,2,2,0,6,7,5,2003,2003,1,0,6,6,1,500.0,2,4,3,0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,1,3,495,1427,0,0.0,0.0,3,0,4,1,2,7,6,1,5,3,2003.0,2,2.0,672.0,3,3,2,0,0,177,0,0,0,0,0,1,0,7,2009,3,4,1,4,6,6,6,7,908128060,198500
6,936,20,6,60.0,6000,1,2,3,0,0,4,1,20,2,2,1,2,4,4,1953,1953,1,0,8,8,2,0.0,1,4,1,2,3,1,1,0.0,1,0.0,936.0,936.0,1,4,0,3,936,0,0,0.0,0.0,1,0,2,1,4,4,3,0,0,5,1953.0,1,2.0,576.0,3,3,2,0,32,112,0,0,0,0,0,1,0,2,2009,9,4,0,5,56,56,5,6,902135020,93000
7,1246,20,5,53.0,3710,1,1,3,3,0,4,0,0,2,2,0,2,7,5,2007,2008,1,0,14,15,1,20.0,2,4,2,4,3,3,1,0.0,1,0.0,1146.0,1146.0,1,0,1,3,1246,0,0,0.0,0.0,2,0,2,1,2,5,6,1,4,1,2007.0,3,2.0,428.0,3,3,2,100,24,0,0,0,0,0,0,1,0,3,2008,6,5,5,10,1,0,6,5,528228540,187687
8,889,20,5,74.0,12395,1,1,3,3,0,0,0,14,2,2,0,2,5,6,1984,1984,1,0,6,9,2,0.0,3,4,1,3,3,1,5,647.0,1,0.0,217.0,864.0,1,4,1,3,889,0,0,0.0,0.0,1,0,3,1,4,6,6,0,0,1,1984.0,1,2.0,484.0,3,3,2,0,0,0,0,0,0,0,0,1,0,4,2008,9,4,3,6,24,24,3,6,923426010,137500
9,1072,180,6,35.0,3675,1,1,3,3,0,4,0,7,2,2,4,6,6,5,2005,2005,1,0,12,13,3,76.0,3,4,2,4,3,3,6,467.0,1,0.0,80.0,547.0,1,0,1,3,1072,0,0,1.0,0.0,1,0,2,1,2,5,6,0,0,2,2005.0,3,2.0,525.0,3,3,2,0,44,0,0,0,0,0,0,1,0,5,2007,9,4,1,4,2,2,6,7,908186050,140000
