Type,Latitude,Longitude,Neighborhood
Park,42.06026141,-93.64954226,NridgHt
Store,42.05726879,-93.64625674,NridgHt
Restaurant,42.05736939,-93.64408897,NridgHt
Park,42.05812384,-93.64141314,Gilbert
Church,42.05784721,-93.6385002,Gilbert
Park,42.06043661,-93.62519004,StoneBr
Park,42.0257592,-93.69266511,CollgCr
Store,42.02288627,-93.67936266,CollgCr
Store,42.02345591,-93.68226319,CollgCr
Restaurant,42.01300341,-93.68359677,CollgCr
Hotel,42.01124465,-93.68353009,CollgCr
Restaurant,42.04917807,-93.64374902,Somerst
Restaurant,42.05031581,-93.64568978,Somerst
Church,42.05594732,-93.64681338,Somerst
Park,42.05249642,-93.64875414,Somerst
Hotel,42.00135421,-93.64285497,Timber
Hotel,42.00146531,-93.64283006,Timber
Church,41.9972804,-93.64686664,Timber
Park,42.012232,-93.64036388,Crawfor
School,42.04113074,-93.66402694,Veenker
School,42.03447798,-93.67589551,ClearCr
Park,42.03255217,-93.66433696,ClearCr
Store,42.05401942,-93.62261303,NAmes
Store,42.05017447,-93.62238977,NAmes
School,42.04127803,-93.63194809,NAmes
Park,42.0474969,-93.61221137,NAmes
Hospital,42.0335649,-93.61243959,NAmes
Restaurant,42.0237459,-93.66863736,Edwards
Store,42.02185608,-93.66968486,Edwards
Park,42.02665464,-93.67003402,Edwards
Park,42.03746283,-93.68462162,SawyerW
Restaurant,42.03727852,-93.68103157,SawyerW
Park,42.03569343,-93.6798404,SawyerW
Airport,41.99932916,-93.62252392,Mitchel
Restaurant,41.99484031,-93.60957723,Mitchel
Park,41.99143565,-93.60835564,Mitchel
Church,41.99479904,-93.60271971,Mitchel
School,41.99116739,-93.60105392,Mitchel
Church,41.99124993,-93.61149289,Mitchel
Store,41.9997695,-93.61188907,Mitchel
Church,42.04777841,-93.62972481,NWAmes
Church,42.05039886,-93.62923566,NWAmes
Restaurant,42.02559147,-93.61179193,OldTown
Restaurant,42.02490825,-93.61835692,OldTown
Library,42.02698145,-93.61226765,OldTown
Hospital,42.03329489,-93.61223594,OldTown
Church,42.0378355,-93.62656908,BrkSide
School,42.03487888,-93.67696494,Sawyer
Park,42.03108738,-93.67203191,Sawyer
Restaurant,42.02286874,-93.64767315,SWISU
Restaurant,42.02297774,-93.64936053,SWISU
School,42.02713782,-93.64642596,SWISU
Store,42.01999019,-93.60678541,IDOTRR
Restaurant,42.02102328,-93.60976529,IDOTRR
Restaurant,42.02500791,-93.61830762,IDOTRR
School,42.05022441,-93.62819686,NPkVill
