PID,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
911102170,1317,6,6,3,0,1920,1,0,3,1950,4,4,8500,649,668,649,3,3,3,40000,200764.7490362575,-160764.7490362575,208 S WALNUT AVE,IDOTRR
903484080,1484,6,6,3,0,1910,2,0,3,1950,4,1,10320,866,504,771,3,3,3,50000,201307.46587016553,-151307.46587016553,1003 LINCOLN WAY,IDOTRR
527326040,1411,6,6,2,1,1977,2,0,3,1977,7,5,11900,1411,-,1386,3,3,3,82500,224271.46360290167,-141771.46360290167,3412 TAFT AVE,NWAmes
902302150,2337,5,6,5,0,1900,2,0,5,1950,5,5,13600,1422,915,662,3,3,3,90000,229695.04088058224,-139695.04088058224,824 CLARK AVE,OldTown
534427010,1728,5,2,4,1,1962,2,0,6,2001,5,6,13260,1728,-,1728,3,-,3,84900,223343.96300287705,-138443.96300287705,904 20TH ST 906,NAmes
909101330,498,4,7,6,1,1922,1,0,1,1955,2,3,8088,498,-,498,3,2,3,35000,172412.7763594592,-137412.7763594592,202 STATE AVE,Edwards
904351240,1112,4,7,6,1,1934,2,0,4,1950,5,3,9780,687,425,585,3,1,3,63000,199947.83076169484,-136947.83076169484,122 HOWARD AVE,Edwards
532378120,864,2,5,5,5,1965,1,0,3,1965,5,5,8281,864,-,864,3,3,3,62383,199071.54697061505,-136688.54697061505,1313 GARFIELD AVE,Sawyer
911175430,480,6,6,3,0,1949,0,0,1,1950,2,3,9000,480,-,480,3,3,3,35311,171810.84489324893,-136499.84489324893,313 S 4TH ST,IDOTRR
903454060,1092,6,6,3,0,1930,2,0,3,1950,4,5,5600,372,720,0,2,-,-,55000,190395.90193051894,-135395.90193051894,211 N HAZEL AVE,IDOTRR
