PID,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,LotArea,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,Latitude,Longitude,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood
526301100,1656,5,2,4,1,1960,1,0,3,1960,6,5,31770,1656,-,1080,3,3,3,42.053808,-93.618344,215000,290876.08353594685,-75876.08353594685,3126 NORTHWOOD DR,NAmes
526302030,1293,5,2,4,1,1954,2,0,2,1954,6,5,11027,1293,-,1178,3,3,3,42.053668,-93.618459,149900,242396.7570572352,-92496.7570572352,3115 NORTHWOOD DR,NAmes
526302040,1024,5,2,4,1,1956,1,0,2,1956,6,6,10533,1024,-,1008,4,3,3,42.05357834520508,-93.61827582597934,157500,249685.08479138862,-92185.08479138862,3113 NORTHWOOD DR,NAmes
526302110,882,5,2,4,1,1956,1,0,2,1956,6,5,13008,882,-,882,3,3,2,42.05284062808919,-93.61863289727206,124500,207081.32727234496,-82581.32727234496,623 RIVER OAK DR,NAmes
526302120,1797,5,2,4,1,1957,1,1,3,1957,5,5,11765,1797,-,1617,3,3,3,42.05285252734815,-93.61867770937495,169000,286208.9278917283,-117208.9278917283,627 RIVER OAK DR,NAmes
526350040,896,5,2,4,1,1961,1,0,2,1961,5,6,11622,896,-,882,3,3,3,42.052806,-93.619783,105000,206966.07806665992,-101966.07806665992,3109 GROVE AVE,NAmes
526351010,1329,5,2,4,1,1958,1,1,3,1958,6,6,14267,1329,-,1329,4,3,3,42.05269954061322,-93.61883290722689,172000,257660.49260825064,-85660.49260825064,630 RIVER OAK DR,NAmes
526351030,1414,5,2,4,1,1958,1,0,3,2002,6,8,11029,1414,-,1184,3,3,4,42.052681,-93.618734,176500,290857.64394353016,-114357.64394353016,620 RIVER OAK DR,NAmes
526351100,1434,5,2,4,1,1974,2,0,4,1974,6,5,10200,1434,-,1434,3,3,3,42.05148839215905,-93.61952556769373,157000,267525.88904550247,-110525.88904550247,3010 GROVE AVE,NAmes
526352080,1587,5,2,4,1,1971,2,0,3,1971,6,6,10667,1587,-,1587,3,3,3,42.051405219787505,-93.61846536488973,167300,275677.0889059234,-108377.08890592342,3006 KELLOGG AVE,NAmes
526352090,1277,5,2,4,1,1970,1,0,2,1970,7,5,10628,1277,-,1277,3,3,3,42.05145469964584,-93.61846427481623,167000,260108.29084667133,-93108.29084667133,3010 KELLOGG AVE,NAmes
526353030,2110,5,2,4,1,1968,2,1,3,1968,7,5,11160,2110,-,2110,5,3,3,42.05135967551002,-93.61727860987578,244000,356369.9591294386,-112369.95912943862,3004 NORTHWOOD DR,NAmes
526353050,2117,5,2,4,1,1970,2,1,4,1970,6,7,12925,2117,-,1205,3,3,3,42.051257,-93.616288,237500,306661.59978908446,-69161.59978908446,2907 DUFF AVE,NAmes
526354020,1851,5,2,4,1,1969,2,0,3,1969,7,6,11727,1851,-,1851,3,3,3,42.05034167989689,-93.61746741627456,192100,287958.3803735544,-95858.38037355442,2919 NORTHWOOD DR,NAmes
526354070,2112,5,2,4,1,1969,2,1,4,1969,6,5,11075,1092,1020,952,3,3,2,42.049363748381104,-93.6174714724021,206900,275046.5911317336,-68146.59113173361,2811 NORTHWOOD DR,NAmes
526355080,2704,5,2,4,1,1972,2,1,4,1995,8,7,13860,2000,704,1952,5,3,4,42.04929427138124,-93.61548374429667,345000,402039.16635431355,-57039.16635431355,2802 THOMPSON DR,NAmes
