PID,LotArea,GarageArea,Latitude,Longitude,GrLivArea,school_quality,nb_income,nb_appreciation,crime_rate,YearBuilt,FullBath,HalfBath,BedroomAbvGr,YearRemodAdd,OverallQual,OverallCond,X1stFlrSF,X2ndFlrSF,TotalBsmtSF,KitchenQual,GarageQual,BsmtQual,SalePrice,Predicted,Delta,Prop_Addr,Neighborhood,Value
1007100110,56600,288,42.02265498235664,-93.57832729307644,1836,6,6,3,0,1900,2,0,4,1950,5,1,1150,686,686,3,3,3,103000,220258.985763639,-117258.98576363901,2520 E LINCOLN WAY,IDOTRR,undervalued
526301100,31770,528,42.053808,-93.618344,1656,5,2,4,1,1960,1,0,3,1960,6,5,1656,-,1080,3,3,3,215000,226645.03356385315,-11645.033563853154,3126 NORTHWOOD DR,NAmes,fair price
526302030,11027,452,42.053668,-93.618459,1293,5,2,4,1,1954,2,0,2,1954,6,5,1293,-,1178,3,3,3,149900,214752.90153715562,-64852.901537155616,3115 NORTHWOOD DR,NAmes,undervalued
526302040,10533,313,42.05357834520508,-93.61827582597934,1024,5,2,4,1,1956,1,0,2,1956,6,6,1024,-,1008,4,3,3,157500,212434.65498029807,-54934.65498029807,3113 NORTHWOOD DR,NAmes,undervalued
526302110,13008,502,42.05284062808919,-93.61863289727206,882,5,2,4,1,1956,1,0,2,1956,6,5,882,-,882,3,3,2,124500,205087.84204818518,-80587.84204818518,623 RIVER OAK DR,NAmes,undervalued
526302120,11765,963,42.05285252734815,-93.61867770937495,1797,5,2,4,1,1957,1,1,3,1957,5,5,1797,-,1617,3,3,3,169000,227146.72576041048,-58146.72576041048,627 RIVER OAK DR,NAmes,undervalued
526350040,11622,730,42.052806,-93.619783,896,5,2,4,1,1961,1,0,2,1961,5,6,896,-,882,3,3,3,105000,202600.70156174415,-97600.70156174415,3109 GROVE AVE,NAmes,undervalued
526351010,14267,312,42.05269954061322,-93.61883290722689,1329,5,2,4,1,1958,1,1,3,1958,6,6,1329,-,1329,4,3,3,172000,218732.4499708807,-46732.4499708807,630 RIVER OAK DR,NAmes,fair price
526351030,11029,601,42.052681,-93.618734,1414,5,2,4,1,1958,1,0,3,2002,6,8,1414,-,1184,3,3,4,176500,222658.20048389552,-46158.20048389552,620 RIVER OAK DR,NAmes,fair price
526351100,10200,528,42.05148839215905,-93.61952556769373,1434,5,2,4,1,1974,2,0,4,1974,6,5,1434,-,1434,3,3,3,157000,221094.07831765112,-64094.07831765112,3010 GROVE AVE,NAmes,undervalued
526352080,10667,525,42.051405219787505,-93.61846536488973,1587,5,2,4,1,1971,2,0,3,1971,6,6,1587,-,1587,3,3,3,167300,225753.46945283766,-58453.46945283766,3006 KELLOGG AVE,NAmes,undervalued
526352090,10628,526,42.05145469964584,-93.61846427481623,1277,5,2,4,1,1970,1,0,2,1970,7,5,1277,-,1277,3,3,3,167000,220856.08759337987,-53856.08759337987,3010 KELLOGG AVE,NAmes,fair price
526353030,11160,522,42.05135967551002,-93.61727860987578,2110,5,2,4,1,1968,2,1,3,1968,7,5,2110,-,2110,5,3,3,244000,244152.8915819546,-152.89158195460914,3004 NORTHWOOD DR,NAmes,fair price
