White,American Indian,Asian,Black,Hispanic,Islander,MultiRacial,Nonwhite,Population,Neighborhood
89.90%,0.20%,5.50%,2.20%,1.60%,0.00%,0.70%,10.10%,1743,Timber
88.60%,0.00%,2.30%,3.20%,3.50%,0.00%,3.00%,11.40%,2620,Mitchel
88.60%,0.00%,2.30%,3.20%,3.50%,0.00%,3.00%,11.40%,2620,MeadowV
76.40%,0.20%,14.60%,3.30%,3.80%,0.00%,1.90%,23.60%,1994,CollgCr
71.20%,0.10%,8.60%,9.50%,7.90%,0.00%,3.70%,28.80%,2235,Edwards
92.60%,0.20%,2.30%,0.30%,3.10%,0.20%,1.10%,7.40%,653,SWISU
87.40%,0.00%,4.70%,3.00%,2.90%,0.00%,1.70%,12.60%,834,Crawfor
83.80%,0.10%,4.40%,5.90%,3.90%,0.20%,2.60%,16.20%,820,IDOTRR
75.50%,0.60%,9.90%,7.40%,4.70%,0.00%,2.30%,24.50%,836,ClearCr
86.40%,0.60%,2.00%,5.00%,4.20%,0.00%,2.70%,13.60%,1272,Sawyer
78.00%,0.20%,8.20%,5.60%,5.80%,0.00%,2.60%,22.00%,2760,SawyerW
92.30%,0.20%,1.10%,2.90%,2.60%,0.00%,1.50%,7.70%,1234,BrkSide
93.90%,0.00%,2.80%,1.00%,1.30%,0.10%,1.00%,6.10%,1269,NWAmes
76.30%,0.20%,18.40%,1.60%,1.90%,0.00%,1.70%,23.70%,3180,Somerst
76.30%,0.20%,18.40%,1.60%,1.90%,0.00%,1.70%,23.70%,3180,NoRidge
76.30%,0.20%,18.40%,1.60%,1.90%,0.00%,1.70%,23.70%,3180,Greens
76.30%,0.20%,18.40%,1.60%,1.90%,0.00%,1.70%,23.70%,3180,Veenker
88.40%,0.30%,6.90%,1.20%,1.80%,0.00%,1.30%,11.60%,3114,NridgHt
88.40%,0.30%,6.90%,1.20%,1.80%,0.00%,1.30%,11.60%,3114,StoneBr
88.40%,0.30%,6.90%,1.20%,1.80%,0.00%,1.30%,11.60%,3114,Gilbert
88.40%,0.30%,6.90%,1.20%,1.80%,0.00%,1.30%,11.60%,3114,Blmngtn
72.90%,0.30%,18.90%,3.70%,3.20%,0.00%,0.70%,27.10%,726,NPkVill
90.10%,0.40%,2.70%,2.90%,2.50%,0.00%,2.10%,9.90%,2544,OldTown
84.90%,0.03%,7.40%,2.40%,2.90%,0.03%,2.10%,15.10%,3821,NAmes
72.30%,0.00%,20.20%,2.40%,3.10%,0.00%,2.40%,27.70%,1146,BrDale
